name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Guardian Sword,BotW_Guardian_Sword_Icon.png?version=cf6741a64950949ca0d6e503f7d955d2 (https://dl.airtable.com/dDTzlM1bSgashkvPM6gX_BotW_Guardian_Sword_Icon.png%3Fversion%3Dcf6741a64950949ca0d6e503f7d955d2),Weapon,Light,,17,20,,,,,,,,,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,,,,,,,,,
Guardian Sword+,BotW_Guardian_Sword%EF%BC%8B_Icon.png?version=0d0e5f87e1b3c554260f2e9ece9717e7 (https://dl.airtable.com/LtQ9doWR2qZ0eVl6fDsR_BotW_Guardian_Sword%25EF%25BC%258B_Icon.png%3Fversion%3D0d0e5f87e1b3c554260f2e9ece9717e7),Weapon,Light,,26,30,,,,,,,,,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.",,,,,,,,,
Guardian Sword++,BotW_Guardian_Sword%EF%BC%8B%EF%BC%8B_Icon.png?version=18bf6036bfcb5c8ae526812038c5baeb (https://dl.airtable.com/l92uc0FHTduKBkpFQb2s_BotW_Guardian_Sword%25EF%25BC%258B%25EF%25BC%258B_Icon.png%3Fversion%3D18bf6036bfcb5c8ae526812038c5baeb),Weapon,Light,,32,40,,,,,,,,,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!",,,,,,,,,
Ice Rod,BotW_Ice_Rod_Icon.png?version=2ba541812492b6d4d07a443e100810fe (https://dl.airtable.com/Own6TIZTZeOXy1elYbSK_BotW_Ice_Rod_Icon.png%3Fversion%3D2ba541812492b6d4d07a443e100810fe),Weapon,Light,,14,5,,,,,,,,,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.,,,,,,,,,
Knight's Broadsword,BotW_Knight%27s_Broadsword_Icon.png?version=e7a73ff8cd5dc5cda8b553d488a43016 (https://dl.airtable.com/4QweSiPoSICq35GZFFNu_BotW_Knight%2527s_Broadsword_Icon.png%3Fversion%3De7a73ff8cd5dc5cda8b553d488a43016),Weapon,Light,,27,26,,,,,,,,,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,,,,,,,,,
Lightning Rod,BotW_Lightning_Rod_Icon.png?version=21d53a4260fb655d60a776e76f0da857 (https://dl.airtable.com/rECVCdkbTBChdOYm0tY9_BotW_Lightning_Rod_Icon.png%3Fversion%3D21d53a4260fb655d60a776e76f0da857),Weapon,Light,,14,5,,,,,,,,,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,,,,,,,,,
Lizal Boomerang,BotW_Lizal_Boomerang_Icon.png?version=18e7873a64df0ee2418d119a17d24b69 (https://dl.airtable.com/oRNv96Q0TEi2gDJ6BjRi_BotW_Lizal_Boomerang_Icon.png%3Fversion%3D18e7873a64df0ee2418d119a17d24b69),Weapon,Light,,17,14,,,,,,,,,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,,,,,,,,,
Lizal Forked Boomerang,BotW_Lizal_Forked_Boomerang_Icon.png?version=2359b1f2148a0132c47825bf6a895026 (https://dl.airtable.com/jjbBZZmWRqnml6kL6KKg_BotW_Lizal_Forked_Boomerang_Icon.png%3Fversion%3D2359b1f2148a0132c47825bf6a895026),Weapon,Light,,25,24,,,,,,,,,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.",,,,,,,,,
Lizal Tri-Boomerang,Lizal-tri-boomerang.png (https://dl.airtable.com/XOIt9LkS4uEvgqIGNSk4_Lizal-tri-boomerang.png),Weapon,Light,,27,36,,,,,,,,,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.",,,,,,,,,
Lizalfos Arm,BotW_Lizalfos_Arm_Icon.png?version=7d8e6d06bfece170e2a76e2252a00684 (https://dl.airtable.com/F93nbQRfqL7L3fLBdXgq_BotW_Lizalfos_Arm_Icon.png%3Fversion%3D7d8e6d06bfece170e2a76e2252a00684),Weapon,Light,,8,12,,,,,,,,,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",,,,,,,,,
Lynel Sword,BotW_Lynel_Sword_Icon.png?version=a37d5929ce0925d70e5a4b74beea7c43 (https://dl.airtable.com/AUVK7AHLSfSYhfk7sg6z_BotW_Lynel_Sword_Icon.png%3Fversion%3Da37d5929ce0925d70e5a4b74beea7c43),Weapon,Light,,26,24,,,,,,,,,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.",,,,,,,,,
Master Sword,BotW_Master_Sword_Icon.png?version=5421ab286eed8d3a100b6e034073e797 (https://dl.airtable.com/xokPTLJNROCJ7VLCQqJc_BotW_Master_Sword_Icon.png%3Fversion%3D5421ab286eed8d3a100b6e034073e797),Weapon,Light,,,30,,,,,,,,,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.,,,,,,,,,"The Master Sword does not break, but it does run out of energy. It takes 10 minutes to recharge. The Master Sword has an attack power of 30 which jumps to 60 when Link is fighting Calamity enemies. The weapon throw is replaced by a beam attack usable only when Link has full hearts. "
Meteor Rod,BotW_Meteor_Rod_Icon.png?version=d1dbaa6cd88f822c3ecb8bd4cdc34349 (https://dl.airtable.com/wOwHTnUScGqobxeonWAJ_BotW_Meteor_Rod_Icon.png%3Fversion%3Dd1dbaa6cd88f822c3ecb8bd4cdc34349),Weapon,Light,,32,10,,,,,,,,,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!",,,,,,,,,
Mighty Lynel Sword,BotW_Mighty_Lynel_Sword_Icon.png?version=b0378d714d39fdecf08c50825ecb58b0 (https://dl.airtable.com/Cv2N8wqYQkCXrAfnZnq6_BotW_Mighty_Lynel_Sword_Icon.png%3Fversion%3Db0378d714d39fdecf08c50825ecb58b0),Weapon,Light,,32,36,,,,,,,,,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.,,,,,,,,,
Moonlight Scimitar,BotW_Moonlight_Scimitar_Icon.png?version=63c649b1d76285a40be4d4070ea4d62a (https://dl.airtable.com/KDjUHN2KTJy0NqNtIBzH_BotW_Moonlight_Scimitar_Icon.png%3Fversion%3D63c649b1d76285a40be4d4070ea4d62a),Weapon,Light,,32,25,,,,,,,,,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.,,,,,,,,,
Royal Broadsword,BotW_Royal_Broadsword_Icon.png?version=0715fc960f104f5d08ae09607f944d2b (https://dl.airtable.com/wUlo5UjNTxeGHgzY9mi1_BotW_Royal_Broadsword_Icon.png%3Fversion%3D0715fc960f104f5d08ae09607f944d2b),Weapon,Light,,36,36,,,,,,,,,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.,,,,,,,,,
Royal Guard's Sword,BotW_Royal_Guard%27s_Sword_Icon.png?version=39d1b98b6c6a54ab7f02914b0c6e6751 (https://dl.airtable.com/P11jWFkThkcLpd7RM4Ug_BotW_Royal_Guard%2527s_Sword_Icon.png%3Fversion%3D39d1b98b6c6a54ab7f02914b0c6e6751),Weapon,Light,,14,48,,,,,,,,,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient.",,,,,,,,,
Rusty Broadsword,BotW_Rusty_Broadsword_Icon.png?version=aeb9e3078a5de48e0e5dc1e882641629 (https://dl.airtable.com/nEjWzbTESBOtd1W6u2PV_BotW_Rusty_Broadsword_Icon.png%3Fversion%3Daeb9e3078a5de48e0e5dc1e882641629),Weapon,Light,,8,6,,,,,,,,,A rusty sword used ages ago by a skilled swordsman. It can do some damage in the right hands but also breaks quickly.,,,,,,,,,
Savage Lynel Sword,BotW_Savage_Lynel_Sword_Icon.png?version=0f6f11b6ce50b0dce88a30ae8fbbebf7 (https://dl.airtable.com/kmNljofZRyeFDuY8Lk2Y_BotW_Savage_Lynel_Sword_Icon.png%3Fversion%3D0f6f11b6ce50b0dce88a30ae8fbbebf7),Weapon,Light,,41,58,,,,,,,,,"A brutal sword carried by white-haired Lynels. The savage blades are strong enough to cut down any foe, no matter how strong.",,,,,,,,,
Scimitar of the Seven,BotW_Scimitar_of_the_Seven_Icon.png?version=39c7215ff09867acd709e124eba121d7 (https://dl.airtable.com/QAbohWyISRe72szuFxSW_BotW_Scimitar_of_the_Seven_Icon.png%3Fversion%3D39c7215ff09867acd709e124eba121d7),Weapon,Light,,60,32,,,,,,,,,"A famous sword once beloved by the Gerudo Champion Urbosa. It is said that when Urbosa swung this sword in battle, her movements resembled a beautiful dance.",,,,,,,,,
Sea-Breeze Boomerang,BotW_Sea-Breeze_Boomerang_Icon.png?version=f7beb9543d7cda9b7f395ab0fda8a741 (https://dl.airtable.com/2QdwHLaCRTKhoJWFrFpL_BotW_Sea-Breeze_Boomerang_Icon.png%3Fversion%3Df7beb9543d7cda9b7f395ab0fda8a741),Weapon,Light,,20,20,,,,,,,,,A boomerang said to have been used by a hero who traveled the Great Sea. It smells faintly of salt water.,,,,,,,,,
Soldier's Broadsword,BotW_Soldier%27s_Broadsword_Icon.png?version=5a35cd4fbc618ce69ceb7b7fa077db14 (https://dl.airtable.com/3YYVxIINR3iLMMjCmpGu_BotW_Soldier%2527s_Broadsword_Icon.png%3Fversion%3D5a35cd4fbc618ce69ceb7b7fa077db14),Weapon,Light,,25,14,,,,,,,,,A sword brandished by the soldiers who once protected Hyrule Castle. Its durable blade is well tuned for slaying monsters.,,,,,,,,,
Soup Ladle,BotW_Soup_Ladle_Icon.png?version=e8a25aca42519b8484875f883ae956b2 (https://dl.airtable.com/datZlFzYThuZOussNI8D_BotW_Soup_Ladle_Icon.png%3Fversion%3De8a25aca42519b8484875f883ae956b2),Weapon,Light,,5,4,,,,,,,,,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.",,,,,,,,,
Spiked Boko Club,BotW_Spiked_Boko_Club_Icon.png?version=ace125cb6582c41b6e99a39429e4b266 (https://dl.airtable.com/JmVGJfzFT8u3HcTjoCji_BotW_Spiked_Boko_Club_Icon.png%3Fversion%3Dace125cb6582c41b6e99a39429e4b266),Weapon,Light,,14,12,,,,,,,,,A reinforced Bokoblin club made to maximize damage. The sharpened bones jabbed into it make it a brutal weapon.,,,,,,,,,
Spring-Loaded Hammer,BotW_Spring-Loaded_Hammer_Icon.png?version=65d5ee542164fa03bb0d1b59192fd0cd (https://dl.airtable.com/sDAoGnvwTeKOsiNU72rf_BotW_Spring-Loaded_Hammer_Icon.png%3Fversion%3D65d5ee542164fa03bb0d1b59192fd0cd),Weapon,Light,,80,1,,,,,,,,,"This strange hammer is one of Kilton's specialties. Being struck by it doesn't hurt much, but the fourth swing in a string of attacks will send the victim flying.",,,,,,,,,
Sword,BotW_Sword_Icon.png?version=5695e3e809597b52e183a9d4de4b9da1 (https://dl.airtable.com/Kn6gZy16SlyuRtxikevp_BotW_Sword_Icon.png%3Fversion%3D5695e3e809597b52e183a9d4de4b9da1),Weapon,Light,,27,22,,,,,,,,,"A sword once wielded by a hero in an ancient age. When grasped, a strange sense of nostalgia washes over you. Take it when going alone would otherwise be dangerous.",,,,,,,,,
Thunderblade,BotW_Thunderblade_Icon.png?version=aa49cf3bc603ecaa73512b3c88923c33 (https://dl.airtable.com/1zX9WCV6RNOOOJJZz9Bn_BotW_Thunderblade_Icon.png%3Fversion%3Daa49cf3bc603ecaa73512b3c88923c33),Weapon,Light,,36,22,,,,,,,,,"A magical sword forged and refined by lightning from the Hyrule Hills. When the blade shines with a golden light, it will electrocute enemies struck by it.",,,,,,,,,
Thunderstorm Rod,BotW_Thunderstorm_Rod_Icon.png?version=5672a56eca0fa8e4eed4402169ee7935 (https://dl.airtable.com/vvmDvhZMSO2jwhZOY8E4_BotW_Thunderstorm_Rod_Icon.png%3Fversion%3D5672a56eca0fa8e4eed4402169ee7935),Weapon,Light,,32,10,,,,,,,,,"A magical rod that can hurl three balls of electricity at once. Its gem contains electricity from the Hyrule Hills, and the rod will break when that electricity runs out.",,,,,,,,,
Torch,BotW_Torch_Icon.png?version=f50b8e0346a6b03bcd240ef643b1a926 (https://dl.airtable.com/cq1l4R0PRgE9yMUkIHSp_BotW_Torch_Icon.png%3Fversion%3Df50b8e0346a6b03bcd240ef643b1a926),Weapon,Light,,8,2,,,,,,,,,"This torch will stay lit once ignited. If you put it away, the flame will be extinguished until you light it again.",,,,,,,,,
Traveler's Sword,BotW_Traveler%27s_Sword_Icon.png?version=f6f5303a0ce68188aba07b8a8f90fdfc (https://dl.airtable.com/lCJQIjN9REu55znkdDo4_BotW_Traveler%2527s_Sword_Icon.png%3Fversion%3Df6f5303a0ce68188aba07b8a8f90fdfc),Weapon,Light,,20,5,,,,,,,,,"A very common sword often kept by travelers to fend off small beasts. It's fairly durable, but a bit unreliable against monsters.",,,,,,,,,
Tree Branch,BotW_Tree_Branch_Icon.png?version=8be33a6c8bc983d1998baf0fbb99ff63 (https://dl.airtable.com/1YOHFiMVQHOg9ytn9xyX_BotW_Tree_Branch_Icon.png%3Fversion%3D8be33a6c8bc983d1998baf0fbb99ff63),Weapon,Light,,4,2,,,,,,,,,"Wooden branches such as this are pretty common, but it's surprisingly well-balanced. It doesn't do much damage but can serve as a weapon in a pinch.",,,,,,,,,
Vicious Sickle,BotW_Vicious_Sickle_Icon.png?version=2a2c8746121c25a24218bdd05dc25c16 (https://dl.airtable.com/KihAxMBzQ4qfkzbTmuGy_BotW_Vicious_Sickle_Icon.png%3Fversion%3D2a2c8746121c25a24218bdd05dc25c16),Weapon,Light,,14,16,,,,,,,,,A grim weapon favored by the Yiga. The half-moon shape of the blade allows for the rapid delivery of fatal wounds and serves as a symbol of their terror. Its durability is low.,,,,,,,,,
Zora Sword,BotW_Zora_Sword_Icon.png?version=db65870b1a4abce13289d05da32ec3ca (https://dl.airtable.com/nmGYTXBrS0anfiAWJSB8_BotW_Zora_Sword_Icon.png%3Fversion%3Ddb65870b1a4abce13289d05da32ec3ca),Weapon,Light,,27,15,,,,,,,,,The ornamentation that adorns this blade is a traditional Zora design. It's forged from a very durable and rust-proof metal.,,,,,,,,,
Ancient Battle Axe,BotW_Ancient_Battle_Axe_Icon.png?version=7081c1dd82cb5f0876e945fe7a2a41b1 (https://dl.airtable.com/hHKuvEABQIGCDnnEaR0b_BotW_Ancient_Battle_Axe_Icon.png%3Fversion%3D7081c1dd82cb5f0876e945fe7a2a41b1),Weapon,Heavy,,15,30,,,,,,,,,"A weapon used by Guardian Scouts. Its unique blade was forged using ancient technology. Although powerful, its unusual shape causes it to break easily.",,,,,,,,,
Ancient Battle Axe+,BotW_Ancient_Battle_Axe%EF%BC%8B_Icon.png?version=cd565f08fb8ba1ecb2a91e33e429d564 (https://dl.airtable.com/DTVIUvgYQ1ijgI4MS2JR_BotW_Ancient_Battle_Axe%25EF%25BC%258B_Icon.png%3Fversion%3Dcd565f08fb8ba1ecb2a91e33e429d564),Weapon,Heavy,,20,45,,,,,,,,,"This ancient battle axe's damage output has been increased to maximum. It's sharp enough to cut through almost anything, so it may have been used to forge new routes.",,,,,,,,,
Ancient Battle Axe++,BotW_Ancient_Battle_Axe%EF%BC%8B%EF%BC%8B_Icon.png?version=9a0dbdb3a16291d0c9f1a9256564c1ee (https://dl.airtable.com/anEBpCSdQOaa0pk1eI4c_BotW_Ancient_Battle_Axe%25EF%25BC%258B%25EF%25BC%258B_Icon.png%3Fversion%3D9a0dbdb3a16291d0c9f1a9256564c1ee),Weapon,Heavy,,25,60,,,,,,,,,This ancient battle axe's damage output is scaled up to peak performance. Ancient technology makes it possible to enhance cutting power beyond metal weapons' limits.,,,,,,,,,
Ancient Bladesaw,BotW_Ancient_Bladesaw_Icon.png?version=838f6b62ad17e1b59d9e93b77e7de7c4 (https://dl.airtable.com/qbLUGxgRSiaPbdouwaEo_BotW_Ancient_Bladesaw_Icon.png%3Fversion%3D838f6b62ad17e1b59d9e93b77e7de7c4),Weapon,Heavy,,50,55,,,,,,,,,This two-handed sword was forged using ancient Sheikah technology. Its unique rotating blades give it impressive cutting power that will slice enemies to shreds.,,,,,,,,,
Biggoron's Sword,BotW_Biggoron%27s_Sword_Icon.png?version=6c3f0e41deb8975d2f08f0edd3a9644a (https://dl.airtable.com/485To2PQqef3zBBM5r1i_BotW_Biggoron%2527s_Sword_Icon.png%3Fversion%3D6c3f0e41deb8975d2f08f0edd3a9644a),Weapon,Heavy,,60,50,,,,,,,,,A legendary greatsword forged by a Goron craftsman for a hero who traveled through time. The exceptionally sharp cutting edge is a testament to the craftsman's mastery.,,,,,,,,,
Boat Oar,BotW_Boat_Oar_Icon.png?version=70d39413066ebec332ea787913772c85 (https://dl.airtable.com/KY5Dx279TtC1qMtPPWiT_BotW_Boat_Oar_Icon.png%3Fversion%3D70d39413066ebec332ea787913772c85),Weapon,Heavy,,8,14,,,,,,,,,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.",,,,,,,,,
Boko Bat,BotW_Boko_Bat_Icon.png?version=a6427c6aea8f08ca1898acd77958bc99 (https://dl.airtable.com/UbstPwb3QpKv26Dho81M_BotW_Boko_Bat_Icon.png%3Fversion%3Da6427c6aea8f08ca1898acd77958bc99),Weapon,Heavy,,12,6,,,,,,,,,"A clunky club made by a Bokoblin. If you swing it at an enemy's shield, it may be able to knock the shield out of your foe's hand.",,,,,,,,,
Boulder Breaker,BotW_Boulder_Breaker_Icon.png?version=b8a83f288d3e3987666b3a30f464ad7c (https://dl.airtable.com/2EvBIJFeSxeZPQ6CNunu_BotW_Boulder_Breaker_Icon.png%3Fversion%3Db8a83f288d3e3987666b3a30f464ad7c),Weapon,Heavy,mining,60,60,,,,,,,,,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need an immense amount of strength.",,,,,,,,,
Cobble Crusher,BotW_Cobble_Crusher_Icon.png?version=a057b4e03a4af9ec87c93d88f14d2b6d (https://dl.airtable.com/7XHpmq9xRmOZIaqokgnf_BotW_Cobble_Crusher_Icon.png%3Fversion%3Da057b4e03a4af9ec87c93d88f14d2b6d),Weapon,Heavy,mining,30,15,,,,,,,,,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, so it relies on its sheer weight to crush all opponents.",,,,,,,,,
Double Axe,BotW_Double_Axe_Icon.png?version=b54110808a36b1a8350fce8f0bbd9251 (https://dl.airtable.com/tuRAiEdGQb6Bw1drGkHk_BotW_Double_Axe_Icon.png%3Fversion%3Db54110808a36b1a8350fce8f0bbd9251),Weapon,Heavy,,52,18,,,,,,,,,"This double-sided axe was designed with fighting in mind. It's a bit unwieldy, so it requires a well-practiced technique to use efficiently.",,,,,,,,,
Dragonbone Boko Bat,BotW_Dragonbone_Boko_Bat_Icon.png?version=cad4fe2be7f58307ffd138fc496bba23 (https://dl.airtable.com/bAZVqCJBTxqXPF7qvRmc_BotW_Dragonbone_Boko_Bat_Icon.png%3Fversion%3Dcad4fe2be7f58307ffd138fc496bba23),Weapon,Heavy,,16,36,,,,,,,,,"Used by only the toughest Bokoblin warriors, this Boko bat has been fortified by fossilized bone. It boasts a high durability and is strong enough to beat down powerful foes.",,,,,,,,,
Dragonbone Moblin Club,BotW_Dragonbone_Moblin_Club_Icon.png?version=8956ef6cd15dc6f0ced738321b97651d (https://dl.airtable.com/L6a66XU3SFq0tFrVP417_BotW_Dragonbone_Moblin_Club_Icon.png%3Fversion%3D8956ef6cd15dc6f0ced738321b97651d),Weapon,Heavy,,24,45,,,,,,,,,"The bone of an ancient beast has been affixed to this Moblin club, further increasing its damage. Moblins carrying these in battle are particularly dangerous.",,,,,,,,,
Drillshaft,BotW_Drillshaft_Icon.png?version=3947750c6f4bf14a7fb1da9a0bf9eeb4 (https://dl.airtable.com/20BK080mRfi205wB2GVE_BotW_Drillshaft_Icon.png%3Fversion%3D3947750c6f4bf14a7fb1da9a0bf9eeb4),Weapon,Heavy,mining,50,14,,,,,,,,,"Goron artisans used recycled metal to forge this weapon. The tip is made from an old excavation bore, which affords it unmatched piercing capabilities.",,,,,,,,,
